Date,City,Temperature,Humidity,WindSpeed,Pressure,WeatherCondition
2026-01-01,Delhi,18,65,12,1012,Sunny
2026-01-02,Mumbai,28,74,15,1010,Cloudy
2026-01-03,Bengaluru,22,68,11,1015,Cloudy
2026-01-04,Chennai,29,78,17,1008,Rainy
2026-01-05,Kolkata,25,82,14,1007,Rainy
2026-01-06,Hyderabad,24,61,10,1013,Sunny
2026-01-07,Pune,23,58,9,1016,Sunny
2026-01-08,Ahmedabad,27,52,8,1017,Sunny
2026-01-09,Jaipur,21,45,13,1014,Cloudy
2026-01-10,Lucknow,17,70,12,1011,Rainy
2026-01-11,New Delhi,19,66,10,1013,Cloudy
2026-01-12,Surat,28,69,16,1010,Cloudy
2026-01-13,Bhopal,23,55,7,1018,Sunny
2026-01-14,Patna,20,72,11,1012,Cloudy
2026-01-15,Chandigarh,16,62,9,1016,Sunny
2026-01-16,Agra,18,64,10,1014,Sunny
2026-01-17,Varanasi,20,73,12,1011,Cloudy
2026-01-18,Srinagar,7,58,6,1020,Cloudy
2026-01-19,Dehradun,13,76,8,1015,Rainy
2026-01-20,Guwahati,21,81,10,1009,Rainy
2026-01-21,Nagpur,26,48,9,1017,Sunny
2026-01-22,Indore,24,50,8,1018,Sunny
2026-01-23,Kochi,30,84,18,1006,Rainy
2026-01-24,Bhubaneswar,27,79,16,1008,Rainy
2026-01-25,Ranchi,22,67,10,1013,Cloudy
2026-01-26,Visakhapatnam,28,77,19,1009,Rainy
2026-01-27,Goa,31,75,14,1011,Sunny
2026-01-28,Amritsar,15,57,11,1017,Sunny
2026-01-29,Jodhpur,24,38,18,1019,Sunny
2026-01-30,Coimbatore,25,70,12,1012,Cloudy
